Provider Number,Facility Name,Five Star,City,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Number of Dialysis Patients with Hgb data,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patients in Serum phosphorus summary,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patients in nPCR summary,SWR category text,Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,PPPW category text,Number of patients for PPPW
102818,HIGHLANDS DIALYSIS CENTER,3,SEBRING,Profit,AMERICAN RENAL ASSOCIATES,11,1,0,0,33,As Expected,31,72,73,As Expected,As Expected,As Expected,61,101,266,As Expected,As Expected,78,78,0,Not Available,35,0,As Expected,55
102819,DAVITA DAVENPORT DIALYSIS,4,DAVENPORT,Profit,DAVITA,12,1,0,0,17,As Expected,36,43,43,As Expected,As Expected,As Expected,42,36,151,As Expected,As Expected,43,43,0,As Expected,14,0,As Expected,58
102820,"BMA OF FLORIDA, INCORPORATED",2,JACKSONVILLE,Profit,FRESENIUS MEDICAL CARE,17,1,1,0,44,As Expected,61,96,101,As Expected,Worse than Expected,As Expected,78,100,298,As Expected,As Expected,104,104,0,Not Available,36,0,As Expected,85
112516,DSI MACON DIALYSIS,2,MACON,Profit,"US RENAL CARE, INC.",20,1,1,1,49,Worse than Expected,69,104,102,As Expected,As Expected,As Expected,76,115,323,Better than Expected,As Expected,100,100,0,Worse than Expected,43,0,As Expected,83
112517,DAVITA JONESBORO DIALYSIS,3,JONESBORO,Profit,DAVITA,20,1,1,0,63,As Expected,97,120,126,As Expected,As Expected,As Expected,106,124,440,As Expected,As Expected,106,106,0,As Expected,60,0.62,As Expected,105
112518,DIALYSIS FACILITIES INC WAYCROSS,2,WAYCROSS,Profit,FRESENIUS MEDICAL CARE,19,1,1,0,62,As Expected,83,108,113,As Expected,As Expected,As Expected,95,134,393,As Expected,As Expected,112,112,0,As Expected,47,0.21,As Expected,101
102727,DAVITA SEBASTIAN DIALYSIS,3,SEBASTIAN,Profit,DAVITA,16,1,1,0,20,As Expected,33,47,46,As Expected,As Expected,Worse than Expected,41,34,313,As Expected,As Expected,42,42,0,As Expected,53,1.12,As Expected,34
102728,DAVITA PALM COAST DIALYSIS,4,PALM COAST,Profit,DAVITA,18,1,1,0,54,As Expected,83,116,129,As Expected,As Expected,As Expected,102,113,437,As Expected,As Expected,124,124,0,As Expected,35,0.3,As Expected,103
102731,DAVITA OCALA REGIONAL KIDNEY CENTER-SOUTH,2,LADY LAKE,Profit,DAVITA,25,1,0,0,47,As Expected,72,120,119,As Expected,As Expected,Worse than Expected,93,123,508,As Expected,As Expected,127,127,0,As Expected,62,0.53,As Expected,79
102732,NORTH MELBOURNE DIALYSIS,3,MELBOURNE,Non-Profit,CENTRAL FLORIDA KIDNEY CENTERS,10,1,0,0,22,As Expected,34,51,53,As Expected,As Expected,As Expected,45,56,183,Worse than Expected,As Expected,55,55,0,Not Available,16,0,As Expected,37
102840,DAVITA FLORIDA RENAL CENTER,3,CORAL GABLES,Profit,DAVITA,20,1,0,0,40,As Expected,57,81,85,As Expected,As Expected,As Expected,63,87,304,As Expected,As Expected,89,89,0,As Expected,37,0.82,As Expected,69
52856,DAVITA WASHINGTON PLAZA DIALYSIS CENTER,3,LOS ANGELES,Profit,DAVITA,25,1,0,0,27,As Expected,73,113,117,As Expected,As Expected,As Expected,78,74,279,Better than Expected,As Expected,117,117,0,As Expected,40,0,As Expected,104
52857,DAVITA FLORIN DIALYSIS CENTER,3,SACRAMENTO,Profit,DAVITA,31,1,0,0,49,As Expected,107,213,219,As Expected,As Expected,Worse than Expected,116,76,515,Better than Expected,As Expected,218,218,0,As Expected,80,1.48,As Expected,187
52858,DAVITA KENNETH HAHN PLAZA DIALYSIS CENTER,3,LOS ANGELES,Profit,DAVITA,20,1,0,0,35,Worse than Expected,56,101,105,As Expected,Worse than Expected,As Expected,65,97,280,As Expected,As Expected,104,104,0,As Expected,29,0.29,As Expected,92
52859,DAVITA WEST GLENDALE DIALYSIS,5,GLENDALE,Profit,DAVITA,19,1,0,1,82,As Expected,108,144,147,As Expected,As Expected,Better than Expected,125,122,528,As Expected,As Expected,151,151,0,As Expected,58,0.23,As Expected,102
52860,FMC-DIALYSIS SERVICES CHANNEL ISLANDS,4,OXNARD,Profit,FRESENIUS MEDICAL CARE,20,1,0,0,77,As Expected,98,142,140,As Expected,As Expected,Better than Expected,114,106,456,As Expected,As Expected,143,143,0,Not Available,26,0,As Expected,107
112763,FMC CUMMING,3,CUMMING,Profit,FRESENIUS MEDICAL CARE,15,1,1,0,33,As Expected,41,57,55,As Expected,As Expected,As Expected,50,47,157,As Expected,As Expected,52,52,0,Not Available,14,0,As Expected,52
112765,DAVITA NORTHWEST GEORGIA DIALYSIS,5,CANTON,Profit,DAVITA,19,1,1,1,42,As Expected,68,99,110,As Expected,Better than Expected,As Expected,79,85,349,As Expected,As Expected,94,94,0,As Expected,62,1.6,As Expected,83
102793,DAVITA OCALA REGIONAL KIDNEY CENTER-NORTH,3,CITRA,Profit,DAVITA,25,1,1,0,34,As Expected,53,70,74,As Expected,As Expected,As Expected,63,65,241,As Expected,As Expected,73,73,0,As Expected,29,0,As Expected,59
102794,ARA - WEST JACKSONVILLE LLC,5,JACKSONVILLE,Profit,AMERICAN RENAL ASSOCIATES,29,1,1,1,54,As Expected,76,120,128,As Expected,As Expected,As Expected,92,112,389,As Expected,As Expected,99,99,0,Not Available,31,0,As Expected,105
102795,FMC DIALYSIS SERVICES - NORTH BOYNTON BEACH,5,BOYNTON BEACH,Profit,FRESENIUS MEDICAL CARE,17,1,0,0,30,As Expected,44,73,77,As Expected,As Expected,As Expected,62,67,204,As Expected,As Expected,76,76,0,Not Available,11,0,As Expected,47
112519,"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.",4,EASTMAN,Profit,FRESENIUS MEDICAL CARE,20,1,0,0,22,As Expected,39,45,49,As Expected,As Expected,As Expected,46,56,184,As Expected,As Expected,49,49,1,Not Available,14,0,As Expected,32
112523,DAVITA SOUTHWEST ATLANTA DIALYSIS CENTER,2,ATLANTA,Profit,DAVITA,34,1,0,0,60,As Expected,83,122,128,As Expected,As Expected,As Expected,92,105,457,Worse than Expected,Worse than Expected,126,126,0,Not Available,17,0,As Expected,108
112524,US RENAL CARE DALTON DIALYSIS,3,DALTON,Profit,"US RENAL CARE, INC.",25,1,1,1,91,As Expected,128,161,165,As Expected,As Expected,As Expected,139,136,547,As Expected,As Expected,134,134,0,As Expected,79,1.44,As Expected,150
112672,FMC ATLANTA-DOWNTOWN,3,ATLANTA,Profit,FRESENIUS MEDICAL CARE,21,1,1,0,43,As Expected,78,105,110,As Expected,As Expected,As Expected,88,88,346,Better than Expected,As Expected,99,99,0,As Expected,26,1.26,As Expected,102
112674,ATHENS KIDNEY CENTER,3,ATHENS,Profit,INDEPENDENT,18,1,0,0,12,Worse than Expected,30,43,43,As Expected,As Expected,As Expected,36,44,154,As Expected,As Expected,42,42,0,Not Available,25,0,As Expected,39
102841,UNIVERSAL KIDNEY CENTER OF PEMBROKE PINES MIRAMAR,4,HOLLYWOOD,Profit,INDEPENDENT,21,1,1,1,12,Not Available,18,26,24,As Expected,Not Available,As Expected,23,8,111,As Expected,As Expected,26,26,0,Not Available,4,0,As Expected,25
102843,FRESENIUS KIDNEY CARE DELRAY BEACH,3,DELRAY BEACH,Profit,FRESENIUS MEDICAL CARE,16,1,1,0,47,As Expected,60,102,109,As Expected,As Expected,Better than Expected,81,93,305,As Expected,As Expected,96,96,0,Not Available,9,0,As Expected,58
102844,ARA - NAPLES DIALYSIS CENTER LLC,4,NAPLES,Profit,AMERICAN RENAL ASSOCIATES,20,1,1,1,47,As Expected,64,95,105,As Expected,As Expected,As Expected,87,91,475,As Expected,As Expected,97,97,0,As Expected,36,1.43,As Expected,59
102845,DAVITA WEST PENSACOLA DIALYSIS CENTER,5,PENSACOLA,Profit,DAVITA,16,1,0,0,36,As Expected,46,65,66,As Expected,As Expected,As Expected,60,56,221,As Expected,As Expected,66,66,0,As Expected,39,0.56,As Expected,54
102847,DAVITA CAPE CORAL SOUTH DIALYSIS,4,CAPE CORAL,Profit,DAVITA,17,1,1,1,42,As Expected,65,71,73,As Expected,As Expected,As Expected,74,111,358,As Expected,As Expected,74,74,0,As Expected,33,1.28,As Expected,58
52861,"BIO-MEDICAL APPLICATIONS OF CALIFORNIA, INC.",4,SANTA ANA,Profit,FRESENIUS MEDICAL CARE,26,1,0,0,12,As Expected,56,173,181,As Expected,As Expected,Worse than Expected,70,70,295,As Expected,Better than Expected,182,182,0,As Expected,80,0.71,As Expected,149
52862,FMC-NORTH ORANGE COUNTY,4,ANAHEIM,Profit,FRESENIUS MEDICAL CARE,18,1,0,0,6,Worse than Expected,52,150,156,Worse than Expected,As Expected,Worse than Expected,57,58,236,As Expected,Better than Expected,156,156,0,As Expected,60,1,As Expected,134
52863,FMC-RAI-NORTH RIVERSIDE-RIALTO,3,RIALTO,Profit,FRESENIUS MEDICAL CARE,21,1,0,0,43,Worse than Expected,92,164,168,As Expected,Worse than Expected,As Expected,98,136,407,Better than Expected,As Expected,170,170,0,As Expected,41,0.55,As Expected,150
52864,FMC-SAN YSIDRO DIALYSIS CENTER,5,SAN DIEGO,Profit,FRESENIUS MEDICAL CARE,20,1,0,0,78,As Expected,111,145,144,As Expected,As Expected,As Expected,118,89,465,As Expected,As Expected,146,146,0,As Expected,54,0.87,As Expected,111
52865,DAVITA CENTURY CITY DIALYSIS CENTER,3,LOS ANGELES,Profit,DAVITA,40,1,1,1,77,As Expected,106,183,189,As Expected,As Expected,Better than Expected,139,121,629,Better than Expected,As Expected,119,119,15,Better than Expected,64,2.17,Better than Expected,186
102800,"FMC-MIAMI SHORES, LLC",3,MIAMI SHORES,Profit,FRESENIUS MEDICAL CARE,19,1,1,1,58,As Expected,90,153,161,As Expected,As Expected,As Expected,104,142,410,As Expected,As Expected,150,150,0,As Expected,65,0.62,As Expected,126
102801,UNIVERSAL KIDNEY CENTER OF DAVIE,4,DAVIE,Profit,INDEPENDENT,21,1,1,0,12,As Expected,20,21,17,As Expected,As Expected,As Expected,22,21,94,As Expected,As Expected,21,21,0,Not Available,3,0,As Expected,20
102802,FMC - ROYAL PALM BEACH,4,WEST PALM BEACH,Profit,FRESENIUS MEDICAL CARE,18,1,1,1,55,As Expected,67,103,105,As Expected,As Expected,Better than Expected,82,83,365,As Expected,As Expected,102,102,0,As Expected,19,1.48,As Expected,77
103502,MAYO CLINIC OUTPATIENT DIALYSIS,5,JACKSONVILLE,Non-Profit,INDEPENDENT,24,1,1,1,54,As Expected,83,119,124,As Expected,Better than Expected,Better than Expected,107,107,394,Better than Expected,As Expected,111,111,0,Better than Expected,39,3.43,Better than Expected,144
103503,SHANDS AT UNIV OF FL OUTPATIENT DIALYSIS,2,GAINESVILLE,Non-Profit,INDEPENDENT,26,1,1,1,58,As Expected,53,115,120,As Expected,As Expected,As Expected,92,118,355,Better than Expected,Worse than Expected,106,106,0,As Expected,60,0.35,As Expected,126
112675,US RENAL CARE COBB RENAL CENTER,2,MARIETTA,Profit,"US RENAL CARE, INC.",16,1,1,0,23,As Expected,44,56,56,As Expected,As Expected,As Expected,50,79,215,As Expected,As Expected,55,55,1,As Expected,33,0.66,As Expected,47
112676,FMC MUSCOGEE COUNTY,3,COLUMBUS,Profit,FRESENIUS MEDICAL CARE,16,1,1,0,43,As Expected,65,91,94,As Expected,As Expected,As Expected,80,59,308,Better than Expected,As Expected,78,78,0,As Expected,56,0.44,As Expected,85
112677,DCI ATLANTA HOME DIALYSIS,1,ATLANTA,Non-Profit,"DIALYSIS CLINIC, INC.",0,0,1,0,4,Not Available,13,17,18,As Expected,As Expected,As Expected,14,20,69,Not Available,Not Available,0,0,0,As Expected,14,2.42,As Expected,17
112679,FMC CLAXTON DIALYSIS CENTER,4,CLAXTON,Profit,FRESENIUS MEDICAL CARE,16,1,1,1,34,As Expected,52,67,72,As Expected,As Expected,As Expected,57,37,212,As Expected,As Expected,66,66,0,Not Available,22,0,As Expected,60
112774,DAVITA SPIVEY PERITONEAL AND HOME DIALYSIS CENTER,3,STOCKBRIDGE,Profit,DAVITA,2,0,1,1,23,As Expected,38,63,63,As Expected,As Expected,As Expected,41,26,189,Not Available,As Expected,19,19,0,Not Available,9,0,Better than Expected,63
112559,DAVITA FORT VALLEY DIALYSIS CENTER,5,FORT VALLEY,Profit,DAVITA,13,1,0,0,33,As Expected,44,66,69,As Expected,As Expected,As Expected,50,42,204,As Expected,As Expected,70,70,0,Not Available,15,0,As Expected,55
112561,DAVITA ATLANTA DIALYSIS,2,ATLANTA,Profit,DAVITA,28,1,0,0,37,As Expected,65,96,96,As Expected,As Expected,Worse than Expected,71,72,307,Better than Expected,As Expected,79,79,0,As Expected,30,2.09,As Expected,92
112562,DAVITA PONCE CITY DIALYSIS,3,ATLANTA,Profit,DAVITA,25,1,1,0,43,As Expected,66,76,77,As Expected,As Expected,As Expected,71,83,273,As Expected,As Expected,77,77,0,Not Available,15,0,As Expected,73
112563,FMC TUCKER,3,TUCKER,Profit,FRESENIUS MEDICAL CARE,16,1,0,0,28,As Expected,50,69,68,As Expected,As Expected,As Expected,57,48,221,As Expected,As Expected,69,69,0,Not Available,12,0,As Expected,57
112566,DAVITA LINDEN DIALYSIS,3,ATLANTA,Profit,DAVITA,20,1,1,1,51,As Expected,63,90,97,As Expected,As Expected,As Expected,78,122,391,Better than Expected,As Expected,79,79,0,As Expected,16,0.44,As Expected,90
112568,DAVITA ATLANTA AIRPORT DIALYSIS,3,ATLANTA,Profit,DAVITA,20,1,1,0,50,As Expected,73,102,103,As Expected,As Expected,As Expected,79,65,300,As Expected,As Expected,105,105,0,As Expected,33,0.72,As Expected,87
52866,DAVITA SAN YSIDRO DIALYSIS,4,SAN DIEGO,Profit,DAVITA,41,1,1,0,116,As Expected,175,256,256,As Expected,As Expected,As Expected,195,190,712,As Expected,As Expected,242,242,0,Worse than Expected,56,0.25,As Expected,216
52867,EAST PALMDALE DIALYSIS CENTER,1,PALMDALE,Profit,INDEPENDENT,20,1,1,0,38,Worse than Expected,65,121,134,As Expected,As Expected,Worse than Expected,73,101,302,As Expected,As Expected,133,133,0,Worse than Expected,66,0.24,As Expected,112
52868,"QUEENS DIALYSIS UNIT, INC.",3,WEST COVINA,Profit,INDEPENDENT,21,1,0,0,45,As Expected,82,133,135,As Expected,As Expected,As Expected,95,123,380,As Expected,As Expected,136,136,0,As Expected,63,0.59,As Expected,100
52845,DAVITA SOUTH HAYWARD DIALYSIS,3,HAYWARD,Profit,DAVITA,24,1,0,0,37,As Expected,67,122,123,As Expected,As Expected,Worse than Expected,71,82,278,Better than Expected,As Expected,124,124,0,As Expected,35,1.83,Better than Expected,98
52847,FMC-WEST COVINA KIDNEY CENTER,4,WEST COVINA,Profit,FRESENIUS MEDICAL CARE,20,1,0,0,28,As Expected,64,146,150,Worse than Expected,As Expected,Worse than Expected,74,92,287,As Expected,Better than Expected,150,150,0,As Expected,33,0.38,As Expected,103
112314,COLQUITT REGIONAL MEDICAL CENTER DIALYSIS,2,MOULTRIE,Non-Profit,INDEPENDENT,26,1,0,0,54,Worse than Expected,83,100,107,As Expected,As Expected,As Expected,90,135,368,As Expected,As Expected,105,105,0,As Expected,52,0.35,As Expected,87
112315,TIFT REGIONAL MEDICAL CENTER DIALYSIS CENTER,3,TIFTON,Non-Profit,INDEPENDENT,22,1,1,0,87,As Expected,131,161,169,As Expected,As Expected,As Expected,138,140,539,As Expected,As Expected,130,130,0,Worse than Expected,73,0.11,As Expected,131
112317,CRISP REGIONAL HOSPITAL DIALYSIS UNIT,5,CORDELE,Non-Profit,INDEPENDENT,18,1,0,0,46,As Expected,58,85,86,As Expected,As Expected,As Expected,65,82,295,As Expected,As Expected,86,86,0,As Expected,33,0.86,As Expected,70
112321,ARCHBOLD HOME DIALYSIS,,THOMASVILLE,Non-Profit,INDEPENDENT,4,1,1,0,0,Not Available,8,12,12,As Expected,As Expected,As Expected,10,11,171,Not Available,Not Available,2,2,0,As Expected,37,0.68,As Expected,12
112643,DAVITA ATLANTA WEST DIALYSIS,2,ATLANTA,Profit,DAVITA,20,1,0,0,39,As Expected,44,66,70,As Expected,As Expected,As Expected,53,78,240,Better than Expected,As Expected,70,70,0,As Expected,20,0,As Expected,63
112775,DCI BOXWOOD PLACE,5,COLUMBUS,Non-Profit,"DIALYSIS CLINIC, INC.",28,1,0,0,71,As Expected,111,117,119,As Expected,As Expected,As Expected,124,68,474,As Expected,As Expected,120,120,0,As Expected,55,0.87,As Expected,95
112776,US RENAL CARE GRAY DIALYSIS,2,GRAY,Profit,"US RENAL CARE, INC.",18,1,1,0,21,As Expected,35,41,41,As Expected,As Expected,As Expected,39,29,122,As Expected,As Expected,42,42,0,Not Available,10,0,Worse than Expected,27
112777,DAVITA MOUNTAIN PARK DIALYSIS,4,STONE MOUNTAIN,Profit,DAVITA,12,1,0,0,30,As Expected,43,63,65,As Expected,As Expected,As Expected,51,55,239,As Expected,As Expected,65,65,0,As Expected,18,1,As Expected,66
112778,DAVITA MEDLOCK BRIDGE DIALYSIS,4,DULUTH,Profit,DAVITA,16,1,1,0,55,As Expected,83,122,125,As Expected,As Expected,As Expected,94,71,375,As Expected,As Expected,115,115,0,As Expected,41,0.62,As Expected,114
112779,NORTH GWINNETT DIALYSIS,5,SUWANEE,Profit,FRESENIUS MEDICAL CARE,20,1,1,0,39,As Expected,57,96,97,As Expected,As Expected,As Expected,65,47,259,As Expected,As Expected,83,83,0,As Expected,24,2.54,Better than Expected,92
102821,US RENAL CARE UPTOWN DIALYSIS,2,NAPLES,Profit,"US RENAL CARE, INC.",17,1,1,0,47,As Expected,71,116,123,As Expected,As Expected,As Expected,94,72,248,Better than Expected,As Expected,87,87,0,As Expected,26,1.78,As Expected,71
152608,DSI - KNOX DIALYSIS,5,KNOX,Profit,"US RENAL CARE, INC.",9,1,0,0,13,As Expected,20,30,30,As Expected,As Expected,Better than Expected,23,22,98,As Expected,As Expected,31,31,0,Not Available,7,0,As Expected,18
152609,FMC - CARMEL,3,CARMEL,Profit,FRESENIUS MEDICAL CARE,12,1,0,0,23,As Expected,39,58,60,As Expected,As Expected,As Expected,47,67,201,Better than Expected,As Expected,62,62,0,As Expected,27,1.76,As Expected,41
152705,FRESENIUS KIDNEY CARE NEW ALBANY,,NEW ALBANY,Profit,FKC,17,1,1,1,0,Not Available,0,0,0,Not Available,Not Available,Not Available,0,0,0,Not Available,Not Available,0,0,0,Not Available,0,0,Not Available,0
153522,RILEY HOSPITAL - PEDS DIALYSIS,,INDIANAPOLIS,Non-Profit,INDEPENDENT,8,1,1,1,7,Not Available,2,1,2,As Expected,As Expected,Not Available,24,24,84,Not Available,Not Available,1,1,13,Worse than Expected,26,0.28,As Expected,39
162306,UNIVERSITY OF IOWA HOSPITAL & CLINICS DIALYSIS,5,IOWA CITY,Non-Profit,INDEPENDENT,20,1,1,1,40,As Expected,60,97,99,As Expected,As Expected,As Expected,76,54,285,Worse than Expected,Better than Expected,76,76,6,As Expected,56,0.84,As Expected,114
162313,MERCY MEDICAL CENTER - CLINTON,5,CLINTON,Non-Profit,INDEPENDENT,13,1,0,0,39,As Expected,54,61,63,As Expected,As Expected,Better than Expected,62,40,252,As Expected,As Expected,63,63,0,Not Available,22,0,As Expected,49
152517,FMC - CANAL DIALYSIS,5,NEW HAVEN,Profit,FRESENIUS MEDICAL CARE,12,1,0,0,19,Worse than Expected,25,52,52,As Expected,As Expected,As Expected,32,28,164,Worse than Expected,As Expected,51,51,0,Not Available,15,0,As Expected,37
152518,FMC - NORTHEAST INDIANA KIDNEY CENTER-WARSAW,3,WARSAW,Profit,FRESENIUS MEDICAL CARE,12,1,1,1,41,As Expected,68,94,98,As Expected,As Expected,As Expected,77,80,272,Better than Expected,As Expected,79,79,0,As Expected,32,1.41,As Expected,79
152520,FMC - NEPHROLOGY  - MISHAWAKA,5,MISHAWAKA,Profit,FRESENIUS MEDICAL CARE,26,1,0,0,62,Worse than Expected,82,117,123,As Expected,As Expected,Better than Expected,99,101,422,As Expected,As Expected,124,124,0,As Expected,43,0.84,As Expected,88
152629,DAVITA PRINCETON DIALYSIS,5,PRINCETON,Profit,DAVITA,12,1,0,0,31,As Expected,41,49,53,As Expected,As Expected,As Expected,47,60,186,As Expected,As Expected,52,52,0,Not Available,17,0,As Expected,32
152630,DAVITA PORTAGE DIALYSIS,4,PORTAGE,Profit,DAVITA,16,1,1,1,40,As Expected,53,75,76,As Expected,As Expected,As Expected,61,69,246,As Expected,As Expected,65,65,0,As Expected,24,0,As Expected,64
152631,FMC - HOBART,5,HOBART,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,27,As Expected,45,68,75,As Expected,Better than Expected,As Expected,57,66,228,As Expected,As Expected,77,77,0,Not Available,21,0,As Expected,58
142717,DAVITA KENWOOD DIALYSIS,4,CHICAGO,Profit,DAVITA,30,1,0,0,64,As Expected,102,141,145,As Expected,As Expected,Better than Expected,118,90,467,As Expected,As Expected,147,147,0,As Expected,35,0.96,As Expected,110
142718,DAVITA STONY ISLAND DIALYSIS,3,CHICAGO,Profit,DAVITA,32,1,1,0,65,As Expected,84,136,138,As Expected,As Expected,As Expected,103,97,543,Better than Expected,As Expected,139,139,0,As Expected,69,0.78,As Expected,118
142719,DAVITA WEST LAWN DIALYSIS,3,CHICAGO,Profit,DAVITA,12,1,0,0,43,As Expected,54,75,75,As Expected,As Expected,As Expected,59,61,229,As Expected,As Expected,78,78,0,As Expected,23,1.65,As Expected,64
142720,DAVITA KENWOOD HOME TRAINING PD,,CHICAGO,Profit,DAVITA,7,0,1,1,28,As Expected,38,62,61,As Expected,As Expected,As Expected,47,33,193,Not Available,Not Available,4,4,0,Not Available,11,0,Better than Expected,63
112870,DAVITA MCFARLAND DIALYSIS,3,ALPHARETTA,Profit,DAVITA,12,1,1,1,24,As Expected,47,68,70,As Expected,As Expected,As Expected,52,42,201,As Expected,As Expected,54,54,0,Better than Expected,22,3.38,As Expected,59
112893,"USRC WINDER, LLC",2,WINDER,Profit,"US RENAL CARE, INC.",11,1,1,0,16,As Expected,27,38,37,As Expected,As Expected,As Expected,31,31,95,As Expected,As Expected,33,33,0,Not Available,12,0,As Expected,35
112894,NEPHRON CORPORATION,1,BUFORD,Profit,NRAA,12,1,1,0,4,Not Available,11,17,12,As Expected,As Expected,As Expected,13,34,53,Not Available,As Expected,18,18,0,Not Available,6,0,As Expected,13
142523,FMC - WEST BELMONT,4,CHICAGO,Profit,FRESENIUS MEDICAL CARE,17,1,0,0,30,As Expected,45,76,79,As Expected,As Expected,As Expected,54,54,219,As Expected,As Expected,78,78,0,Not Available,18,0,As Expected,64
142524,FMC - BRIDGEPORT,3,CHICAGO,Profit,FRESENIUS MEDICAL CARE,27,1,1,0,68,As Expected,91,141,144,As Expected,As Expected,As Expected,112,126,528,Better than Expected,As Expected,131,131,0,As Expected,43,1.03,As Expected,127
142525,FMC - ROLLING MEADOWS,5,ROLLING MEADOWS,Profit,FRESENIUS MEDICAL CARE,25,1,0,0,71,As Expected,85,129,131,As Expected,As Expected,Better than Expected,107,160,415,As Expected,As Expected,132,132,0,As Expected,38,1.13,As Expected,80
162314,SAINT ANTHONYS REGIONAL HOSPITAL,5,CARROLL,Non-Profit,INDEPENDENT,12,1,0,0,18,As Expected,25,39,41,As Expected,As Expected,As Expected,39,32,152,As Expected,As Expected,41,41,0,Not Available,17,0,As Expected,27
162324,WAYNE COUNTY HOSPITAL ESRD,5,CORYDON,Non-Profit,INDEPENDENT,5,1,0,0,7,Not Available,14,17,19,As Expected,As Expected,As Expected,17,11,65,As Expected,As Expected,19,19,0,Not Available,3,0,As Expected,15
142757,DAVITA SILVERBRIDGE HOME TRAINING,,ELGIN,Profit,DAVITA,4,0,1,1,9,Not Available,17,28,29,As Expected,Not Available,As Expected,18,9,65,Not Available,Not Available,3,3,0,Not Available,5,0,As Expected,19
142758,SAH DIALYSIS CLINIC @26TH ST,4,CHICAGO,Non-Profit,INDEPENDENT,15,1,0,0,22,Not Available,6,44,45,As Expected,As Expected,As Expected,24,35,106,As Expected,As Expected,45,45,0,Not Available,14,0,As Expected,39
142759,IROQUOIS KIDNEY CENTER,3,WATSEKA,Profit,INDEPENDENT,0,0,1,0,5,Not Available,10,13,13,As Expected,Not Available,As Expected,12,10,48,Not Available,Not Available,0,0,0,Not Available,9,0,Not Available,4
142760,HOME DIALYSIS SERVICES - ELGIN,,CRYSTAL LAKE,Profit,INDEPENDENT,0,0,1,1,15,As Expected,28,48,52,As Expected,As Expected,As Expected,31,34,119,Not Available,Not Available,6,6,0,As Expected,28,1.56,As Expected,49
152632,FMC - DYER,4,DYER,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,16,As Expected,29,43,46,As Expected,As Expected,As Expected,33,43,174,As Expected,As Expected,46,46,0,Not Available,25,0,As Expected,33
152634,FMC - MUNCIE DIALYSIS,4,MUNCIE,Profit,FRESENIUS MEDICAL CARE,24,1,1,1,47,As Expected,83,101,107,As Expected,As Expected,As Expected,92,129,315,Better than Expected,As Expected,89,89,0,As Expected,49,0.62,As Expected,77
152635,US RENAL CARE LAFAYETTE DIALYSIS,3,LAFAYETTE,Profit,"US RENAL CARE, INC.",12,1,0,0,37,As Expected,51,71,79,As Expected,As Expected,As Expected,60,49,271,As Expected,As Expected,82,82,0,Not Available,26,0,As Expected,50
162527,DAVITA SHENANDOAH DIALYSIS,4,SHENANDOAH,Profit,DAVITA,12,1,0,0,23,Worse than Expected,38,45,48,As Expected,As Expected,As Expected,44,44,142,As Expected,As Expected,48,48,0,Not Available,23,0,As Expected,32
162528,DAVITA HARLAN DIALYSIS,5,HARLAN,Profit,DAVITA,8,1,0,0,26,As Expected,25,30,30,As Expected,As Expected,As Expected,29,31,114,As Expected,As Expected,30,30,0,Not Available,11,0,As Expected,25
112871,"INNOVATIVE DIALYSIS CENTERS OF LA GRANGE, LLC",,LAGRANGE,Profit,"US RENAL CARE, INC.",11,0,1,1,15,As Expected,32,39,42,As Expected,As Expected,As Expected,36,25,163,Not Available,Not Available,0,0,0,As Expected,40,1.35,As Expected,40
112872,DAVITA ELLIJAY HT AT HOME,,ELLIJAY,Profit,DAVITA,2,0,1,1,1,Not Available,10,13,13,As Expected,As Expected,As Expected,10,11,40,Not Available,Not Available,3,3,0,Not Available,2,0,As Expected,11
112874,HEPHZIBAH DIALYSIS CLINIC LLC,4,HEPHZIBAH,Profit,AMERICAN RENAL ASSOCIATES,21,1,0,0,38,As Expected,40,101,114,As Expected,As Expected,As Expected,92,71,332,Better than Expected,As Expected,112,112,0,As Expected,63,0.69,As Expected,92
112875,"DAVITA TOTAL RENAL CARE, INC.",5,ATLANTA,Profit,DAVITA,17,1,1,1,39,As Expected,62,86,92,As Expected,As Expected,As Expected,71,71,269,Better than Expected,As Expected,82,82,0,As Expected,42,0.58,As Expected,85
112876,DAVITA VICTORY DIALYSIS,5,COLUMBUS,Profit,DAVITA,12,1,0,0,24,Worse than Expected,36,51,51,As Expected,As Expected,As Expected,43,25,136,As Expected,As Expected,49,49,0,Not Available,16,0,As Expected,43
142502,FMC - LOOP,3,CHICAGO,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,26,As Expected,41,62,61,As Expected,As Expected,As Expected,47,39,262,Better than Expected,As Expected,64,64,0,As Expected,24,1.13,As Expected,53
