Facility_Name,CMS_Certification_Number,PY2020_Payment_Reduction_Percentage,Total_Performance_Score
DAVITA - SUMMIT CITY DIALYSIS,152653,0.005,54
FMC - FISHERS DIALYSIS,152654,0,79
DAVITA - MISHAWAKA DIALYSIS,152655,0,60
DAVITA - BROWNSBURG CLINIC,152656,0,71
INDIANA DIALYSIS COMPANY,152657,0.01,39
DAVITA - EAGLE HIGHLANDS,152658,0.01,48
DAVITA - DIALYSIS SOUTH BEND WEST,152659,0,68
FMC - SOUTH BEND DIALYSIS,152660,0,86
DAVITA - INDY EAST,152661,0.015,36
DAVITA - VINCENNES HOME DIALYSIS,152662,0,96
DAVITA - ELKHART,152664,0,70
DAVITA - MUNCIE,152665,0,75
DAVITA - SPRING STREET,152666,0.005,57
FMC - VIGO COUNTY,152667,0,76
DAVITA - IRISH DIALYSIS,152668,0.005,52
FMC - GRIFFITH,152669,0,66
SCHERERVILLE DIALYSIS CENTER,152670,0,66
HAMMOND DIALYSIS CENTER,152671,0.005,57
MERRILLVILLE NORTH DIALYSIS CENTER,152672,0.01,44
USRC MICHIGAN CITY DIALYSIS,152673,0,74
FMC-VINCENNES,152674,0,0
DIALYSIS CENTER OF PORTAGE LLC,152675,0.01,44
"RANDOLPH DIALYSIS, LLC",152676,0.01,45
"NXKC INDIANAPOLIS NORTHWEST, LLC",152678,0,70
"HOME DIALYSIS SERVICES MERRILLVILLE, LLC",152679,0,0
DAVITA-WHITEWATER VALLEY DIALYSIS,152680,0,75
DAVITA-FORT WAYNE NORTH DIALYSIS,152681,0,77
"LOFIELD DIALYSIS, LLC",152682,0,86
DRUMMER DIALYSIS LLC,152683,0.02,28
DAVITA LA PORTE DIALYSIS,152684,0,88
DAVITA-SULLIVAN DIALYSIS,152685,0.01,44
ISD RENAL INC,152686,0.015,32
ISD RENAL,152687,0.01,48
ISD RENAL INC,152688,0.015,33
DAVITA-TERRE HAUTE DIALYSIS,152689,0.01,40
LOFIELD DIALYSIS LLC,152690,0,90
"FRESENIUS MEDICAL CARE INDIANA, LLC",152691,0,69
MUNSTER DIALYSIS CENTER,152692,0.01,39
AMERICAN KIDNEY CENTER,152693,0.015,37
DAVITA- FALL CREEK,152694,0,0
BIO-MEDICAL APPLICATIONS OF INDIANA,152695,0,0
THE DIALYSIS CENTER OF GARY LLC,152697,0,0
RILEY HOSPITAL - PEDS DIALYSIS,153522,0,60
UNIVERSITY OF IOWA HOSPITAL & CLINICS DIALYSIS,162306,0,61
MERCY MEDICAL CENTER - CEDAR RAPIDS,162309,0,66
MERCY MEDICAL CENTER - CLINTON,162313,0,86
SAINT ANTHONYS REGIONAL HOSPITAL,162314,0,85
MILTON & ETHEL WARNER DIALYSIS UNIT - SPENCER,162318,0,77
WAYNE COUNTY HOSPITAL ESRD,162324,0,89
MERCY DIALYSIS - VINTON,162333,0.01,47
TRI- STATE DIALYSIS - DUBUQUE,162500,0,73
CENTRAL DES MOINES DIALYSIS,162501,0,71
WEST DES MOINES DIALYSIS,162506,0,59
FMC - DAVENPORT,162507,0,62
"SOUTHEASTERN RENAL DIALYSIS, L.C. - MOUNT PLEASANT",162509,0,82
TRI- STATE DIALYSIS - MANCHESTER,162511,0,91
"SOUTHEASTERN RENAL DIALYSIS, LC - W BURLINGTON",162512,0,62
CRESTON DIALYSIS,162514,0,77
SIOUXLAND DIALYSIS,162515,0.005,55
CEDAR VALLEY DIALYSIS CENTER,162516,0.015,37
"SOUTHEASTERN RENAL DIALYSIS, L.C. - LEE COUNTY",162517,0,88
"RENAL CENTER OF STORM LAKE, LLC",162518,0,86
ATLANTIC DIALYSIS,162520,0,95
NEWTON DIALYSIS,162523,0,92
DIALYSIS CLINIC INC. - ONAWA,162524,0,79
FMC MIDWEST DIALYSIS,162525,0,78
WEST UNION DIALYSIS CENTER,162526,0,98
SHENANDOAH DIALYSIS,162527,0,59
HARLAN DIALYSIS,162528,0,83
RIVERPOINT DIALYSIS UNIT,162529,0,72
FMC - BETTENDORF,162530,0,85
FMC - MERCY,162532,0,64
EAST DES MOINES DIALYSIS,162533,0,64
PERRY DIALYSIS,162534,0,64
FMC - DIALYSIS SERVICES DES MOINES SOUTH,162535,0.005,55
SANFORD HEALTH DIALYSIS HOSPERS,162536,0,67
"SOUTHEASTERN RENAL DIALYSIS, LC - FT MADISON",162537,0,87
FMC - OTTUMWA,162538,0,60
COUNCIL BLUFFS DIALYSIS CENTER,162539,0,61
"SOUTHEASTERN RENAL DIALYSIS, L.C. - FAIRFIELD",162540,0,85
BLACK HAWK DIALYSIS,162541,0,66
CEDAR VALLEY WAVERLY DIALYSIS,162542,0,73
FMC - MAQUOKETA,162543,0,83
BUCHANAN COUNTY DIALYSIS,162544,0,93
LE MARS AREA DIALYSIS SERVICES,162546,0,89
IOWA FALLS MARY GREELEY DIALYSIS,162547,0,87
MARSHALLTOWN MARY GREELEY DIALYSIS,162548,0,64
AMES MARY GREELEY DIALYSIS,162549,0,70
RENAL CENTER OF FORT DODGE LLC,162550,0,75
CEDAR RAPIDS DIALYSIS,162552,0,59
FMC - MUSCATINE,162553,0,65
GREEN COUNTRY DIALYSIS,162554,0.005,56
RIVER VALLEY DIALYSIS,162555,0.01,43
FMC CLINE FAMILY DIALYSIS CENTER,162556,0,92
ANKENY DIALYSIS,162557,0,66
FIVE SEASONS DIALYSIS,162558,0,86
E.A. MOTTO DIALYSIS,162559,0.005,53
OTTUMWA DIALYSIS,162560,0,76
SIOUX CITY DIALYSIS,162561,0,64
FMC - MASON CITY,162562,0,67
FMC - ALGONA,162563,0,66
FMC - CHARLES CITY,162564,0,68
PELLA DIALYSIS,162566,0,69
WINDSOR HEIGHTS DIALYSIS,162567,0,0
MAYO CLINIC HOSP-DYLS,163502,0,82
UNIVERSITY OF IOWA HOSPITAL & CLINICS - MUSCATINE,163504,0,81
UNIVERSITY OF IOWA HOSPITAL & CLINICS - GRINNELL,163507,0,89
UNIVERSITY OF IOWA HOSPITAL & CLINICS - NORTH LIBERTY,163509,0,77
UNIVERSITY OF IOWA HOSPITAL & CLINICS - WASHINGTON,163510,0,88
WARNER DIALYSIS CENTER,163513,0,77
MERCY MEDICAL CENTER DIALYSIS - MERCY PLAZA,163514,0,88
WARNER DIALYSIS CENTER SPENCER,163516,0,0
FMC - EL DORADO,172306,0,67
PEDIATRICS DIALYSIS SERVICE AT WESLEY,172307,0,0
HIGH PLAINS REGIONAL DIALYSIS,172308,0.005,54
JOHNSON COUNTY DIALYSIS,172501,0.005,58
FMC - SALINA,172502,0,68
WICHITA DIALYSIS CENTER,172503,0,80
FMC - WICHITA,172504,0,76
RENAL CARE GROUP - DODGE CITY,172505,0,72
RENAL CARE GROUP - HAYS,172506,0.005,57
FMC - PITTSBURG MIDWEST,172507,0,62
TOPEKA DIALYSIS,172508,0,63
LENEXA DIALYSIS,172509,0,76
OTTAWA DIALYSIS,172510,0,74
INDEPENDENCE DIALYSIS CENTER,172511,0.005,50
RENAL CARE GROUP - CHANUTE,172512,0,75
GARDEN CITY DIALYSIS CENTER,172514,0,80
RENAL CARE GROUP - LIBERAL,172515,0,71
FMC - CONCORDIA,172516,0,86
FLINT HILLS DIALYSIS LLC,172517,0.005,57
RENAL CARE GROUP - GREAT BEND,172518,0,77
EAST WICHITA DIALYSIS CENTER,172519,0,68
"WYANDOTTE COUNTY DIALYSIS, L L C",172523,0,60
LAWRENCE DIALYSIS,172524,0,62
WINFIELD DIALYSIS CENTER,172526,0,94
"DIALYSIS SPECIALISTS OF TOPEKA, INC.",172527,0,61
FMC EMPORIA,172528,0,84
NEWTON DIALYSIS CENTER,172529,0,100
PARSONS DIALYSIS CENTER,172530,0,87
RENAL CARE GROUP - NEWTON,172531,0,87
BIO-MEDICAL APPLICATIONS OF LEAWOOD,172532,0,83
DERBY DIALYSIS CENTER,172533,0,81
SABETHA DIALYSIS,172534,0,77
FMC - JUNCTION CITY,172535,0,79
WYANDOTTE WEST DIALYSIS,172536,0.005,53
PRATT DIALYSIS CENTER,172537,0,100
RENAL CARE GROUP - WICHITA WEST,172540,0,77
OLATHE DIALYSIS,172541,0.005,56
NE WICHITA DIALYSIS CENTER,172542,0,66
RENAL CARE GROUP- WICHITA EAST,172543,0,87
WYANDOTTE CENTRAL DIALYSIS,172544,0,62
LEAVENWORTH DIALYSIS,172545,0,60
DIALYSIS CENTER OF HUTCHINSON,172546,0,65
RAI - PARALLEL PARKWAY - KANSAS CITY DIALYSIS,172547,0,66
MAIZE DIALYSIS CENTER,172548,0,77
RAI - RAINBOW BLVD - WESTWOOD,172551,0,60
FRESENIUS MEDICAL CARE DERBY,172552,0,86
PAOLA DIALYSIS,172553,0,86
NALL DIALYSIS,172555,0,61
FLINT HILLS DIALYSIS OF MARYSVILLE,172556,0,82
ANDOVER DIALYSIS,172557,0,70
FMC - FORT SCOTT,172558,0.01,48
LAWRENCE HOME TRAINING,172559,0.005,49
GARDNER DIALYSIS,172560,0,74
EMPORIA DIALYSIS,172561,0,94
HOME DIALYSIS SERVICES KANSAS CITY,172562,0,0
WANAMAKER DIALYSIS,172563,0,87
MANHATTAN DIALYSIS,172564,0,90
NOTTINGHAM DIALYSIS,172565,0,100
MISSION DIALYSIS,172566,0,0
HOPEFIELD DIALYSIS,172567,0,0
FKC - TOPEKA EAST,172568,0,100
FMC - GARDEN CITY,172569,0.02,12
FKC - LENEXA,172570,0.02,12
OVERLAND PARK DIALYSIS,172571,0,0
AIR CAPITAL DIALYSIS,172572,0,0
FREE STATE DIALYSIS,172573,0,0
KENTUCKY CHILDRENS HOSPITAL,182305,0,0
T.J. SAMSON  KIDNEY CARE,182316,0.005,55
"UNIVERSITY OF LOUISVILLE DIALYSIS CENTER, LLC",182501,0.005,57
DCI - LEXINGTON,182502,0.005,58
FMC - LOUISVILLE,182503,0,59
DAVITA - DIALYSIS OF CENTRAL KENTUCKY,182504,0.005,49
FMC - BOWLING GREEN KIDNEY CENTER,182505,0.01,45
FMC - PRESTONSBURG,182507,0,74
DCI - CORBIN,182508,0.01,44
FMC - MOREHEAD,182509,0.005,53
DCI - SOUTH LEXINGTON,182512,0,70
DCI - DANVILLE,182513,0,71
FMC - WEST LOUISVILLE,182514,0,71
FMC - SOMERSET,182516,0,68
FMC - HAZARD,182517,0,60
DAVITA - TAYLOR COUNTY DIALYSIS,182518,0,70
DAVITA - HOPKINSVILLE DIALYSIS,182519,0,74
FMC - DIALYSIS SERVICES OF AUDUBON,182521,0,67
FMC - SOUTH LOUISVILLE,182523,0.01,42
FMC - ASHLAND,182524,0,68
FMC - GLASGOW KIDNEY CENTER,182526,0.01,43
FMC - EAST LOUISVILLE,182527,0,76
DAVITA - CRESTVIEW HILLS DIALYSIS,182529,0,63
DCI - FRANKFORT,182530,0,59
FMC - CENTRAL RICHMOND,182532,0.005,58
DCI - RICHMOND,182533,0,79
FMC - SUBURBAN,182534,0,72
FMC - SHELBYVILLE,182535,0,71
FMC - CENTRAL CITY,182536,0,80
ARA - UNIVERSITY KIDNEY CENTER 3RD STREET,182537,0.005,49
DAVITA - EASTERN KENTUCKY DIALYSIS,182538,0,62
FMC - PIKEVILLE,182540,0.01,48
DCI - MAYSVILLE,182541,0,61
DAVITA - SOUTH HILL DIALYSIS,182542,0.005,57
FMC - SOUTHWEST,182543,0,61
DAVITA - GARDENSIDE DIALYSIS,182544,0,59
DAVITA - OWENSBORO DIALYSIS CENTER,182547,0.005,58
DAVITA - PAINTSVILLE DIALYSIS,182548,0,72
DAVITA - CHRISTIAN COUNTY DIALYSIS,182549,0,61
FMC - DANVILLE,182550,0.005,50
FMC - KUTTAWA DIALYSIS,182551,0,91
FMC -  DIALYSIS OF PADUCAH,182552,0,61
FMC  - DIALYSIS OF MURRAY,182553,0,78
FMC -  DIALYSIS OF MAYFIELD,182554,0.01,43
FMC - MT. STERLING,182555,0,77
FMC-  LEXINGTON SOUTH DIALYSIS,182556,0.005,55
FMC - KENTUCKY RENAL CARE GROUP - LEXINGTON EAST,182558,0.015,35
FMC - SOUTH PADUCAH,182559,0.005,58
FMC - PAINTSVILLE,182560,0.005,53
FMC - CALDWELL COUNTY DIALYSIS,182561,0,84
FMC - GREENUP,182562,0,80
FMC - LEXINGTON NORTH,182563,0.005,54
FMC - NA HARLAN,182565,0.005,53
DAVITA - RAVEN ROCK,182566,0,59
FMC-SOUTH CENTRAL LOUISVILLE,182567,0,60
DAVITA - BARDSTOWN DIALYSIS,182568,0,61
FMC - NALCO HOME PROGRAM,182569,0,63
DAVITA - LOUISVILLE DIALYSIS,182570,0.01,47
DAVITA - LAGRANGE DIALYSIS CENTER,182572,0.005,55
FMC - JACKSON,182573,0,66
DAVITA - LEITCHFIELD DIALYSIS,182574,0,94
FMC - DIALYSIS SERVICES OF OLDHAM COUNTY,182575,0,87
FMC - BARDSTOWN,182576,0.01,47
DAVITA - SPRINGHURST DIALYSIS CENTER,182577,0,79
FMC - NA OF GRAYSON,182578,0,61
DAVITA - LOUISA  DIALYSIS,182580,0.005,53
DAVITA WEST BROADWAY DIALYSIS,182581,0.005,52
DAVITA - TURFWAY DIALYSIS,182582,0,60
DAVITA - COLD SPRING DIALYSIS,182583,0,64
"FRESENIUS MEDICAL CARE NAK FRANKFORT, LLC",182584,0.005,52
DAVITA-TURFWAY PD TRAINING,182586,0,59
FMC - GEORGETOWN DIALYSIS CLINIC,182587,0,67
FMC - NICHOLASVILLE DIALYSIS,182588,0,89
DAVITA - MAYSVILLE,182589,0,65
FMC - NORTHEAST LOUISVILLE,182590,0,75
FMC - BOONE COUNTY,182591,0.005,55
DAVITA - MEADOWS EAST,182592,0.01,40
FMC - MADISONVILLE DIALYSIS,182594,0,70
DAVITA - WILLIAMSTOWN DIALYSIS,182595,0,81
FMC - LEBANON MARION COUNTY,182596,0,61
DAVITA - MADISONVILLE DIALYSIS CENTER,182597,0.005,55
DAVITA SOUTH WILLIAMSON DIALYSIS,182598,0.005,49
FMC - OF HARDIN COUNTY,182599,0.005,51
DAVITA - SHEPERDSVILLE DIALYSIS,182600,0,60
DAVITA - HAMBURG DIALYSIS,182601,0.005,57
FMC - WINCHESTER,182602,0.005,49
DAVITA - BOURBON COUNTY DIALYSIS,182603,0.01,46
DAVITA - 12TH ST. COVINGTON DIALYSIS,182604,0,64
FMC - SHEPHERDSVILLE,182605,0,73
DAVITA - VERSAILLES DIALYSIS,182606,0,64
FMC - CAMPBELLSVILLE,182607,0,61
FMC - TRIGG COUNTY,182608,0,80
FMC - CENTRAL ASHLAND,182609,0.005,56
FMC - MASONIC HOME DIALYSIS,182610,0.005,53
DAVITA - RADCLIFF DIALYSIS,182611,0.01,48
AMERICAN HOME DIALYSIS,182612,0.01,40
FMC - KENTUCKIANA HOME THERAPIES,182613,0,60
DAVITA - SHELBYVILLE ROAD DIALYSIS,182614,0.005,51
DAVITA - DIALYSIS OF WARREN COUNTY,182615,0.005,50
DAVITA - GENERAL BUTLER DIALYSIS,182616,0,72
FMC -LAKE CUMBERLAND,182618,0,73
DIALYSIS SERVICES OF PINEVILLE,182619,0.005,56
KUMAR DIALYSIS FLORENCE,182620,0.02,23
DIALYSIS SERVICES OF LONDON,182621,0.005,55
FMC - EDGEWOOD,182622,0.01,44
UNIVERSITY KIDNEY CENTER HIKES LANE LLC,182623,0,78
UNIVERSITY KIDNEY CENTER - BROADWAY,182624,0,60
"UNIVERSITY KIDNEY CENTER BLUEGRASS, LLC",182625,0.01,46
DAVITA - OWENSBORO HOME DIALYSIS,182626,0,92
DAVITA - KENTUCKY HOME TRAINING,182627,0,71
"FMC - NAK BEREA, LLC",182628,0,82
FMC - HOPKINSVILLE,182629,0,85
DAVITA PORTLAND DIALYSIS,182630,0.01,42
"FMC-NAK RADCLIFF, LLC",182631,0.005,58
"BIO-MEDICAL APPLICATION OF KENTUCKY, INC.",182632,0,67
FMC- LEXINGTON SOUTHWEST,182633,0.005,51
FMC- WAYNE COUNTY,182634,0,95
SAGUARO DIALYSIS LLC,182635,0,62
DAVITA-WALTON DIALYSIS,182636,0,65
"LOFIELD DIALYSIS, LLC",182637,0,63
"TOTAL RENAL CARE, INC.",182638,0.015,38
FRESENIUS KIDNEY CARE STANFORD,182639,0,91
"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",182640,0,0
"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC",182641,0,0
"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",182642,0,0
WILLIS KNIGHTON MED CTR-DIALYSIS,192308,0.02,26
LADY OF THE SEA DIALYSIS CTR,192322,0,66
CHILDRENS HOSPITAL-DIALYSIS,192325,0.005,52
FMCNA - BATON ROUGE,192501,0,81
FMCNA - ALEXANDRIA,192503,0.005,50
FMCNA - WEST LAFAYETTE,192504,0.005,57
FMCNA - FLORIDA PARISH KIDNEY CTR,192505,0.005,56
DAVITA - WESTBANK CHRONIC RENAL CTR,192507,0.005,58
FMCNA - NORTHEAST LOUISIANA DIALYSIS CTR,192510,0.005,50
FMCNA - METAIRIE,192511,0.005,52
FMCNA - SHREVEPORT REGIONAL,192512,0.01,43
CHALMETTE DIALYSIS CTR,192515,0,64
FMCNA - NEW ORLEANS EAST- FERNCREST,192516,0.005,50
FMCNA - OPELOUSAS,192518,0.005,53
FMCNA - MARRERO,192521,0.005,49
FMCNA - NEW IBERIA,192522,0.01,48
DAVITA - FLEUR DE LIS,192523,0.01,45
FMCNA - MANCUSO,192524,0,64
FMCNA - NATCHITOCHES DX,192525,0,77
FMCNA - DIALYSIS CTR OF SHREVEPORT,192530,0.005,49
FMCNA - OCHSNER NEW ORLEANS,192531,0.01,44
FMCNA - BOSSIER REGIONAL DX CTR,192532,0.005,53
BIENVILLE DIALYSIS CTR NORTH,192533,0.005,52
DAVITA - CHATEAU DIALYSIS,192534,0,59
FMCNA - CROWLEY,192538,0,75
FMCNA - BAKER,192539,0,62
DAVITA - BOGALUSA KIDNEY CARE,192540,0,59
FMCNA - MINDEN DIALYSIS,192541,0.01,45
LAPLACE DIALYSIS CTR,192543,0.015,37
FMCNA - PONTCHARTRAIN KIDNEY CTR,192544,0.005,53
MORGAN CITY DIALYSIS CTR,192548,0.01,39
DAVITA - MAGNOLIA DIALYSIS,192551,0,63
FMCNA - HOUMA,192552,0,63
FMCNA - BUNKIE,192555,0,68
DAVITA - SLIDELL KIDNEY CARE,192556,0.005,53
FMCNA - AMITE,192557,0,69
FMCNA - FOSTER DR DIALYSIS SVCS,192558,0.005,58
FMCNA - ABBEVILLE,192560,0,67
FMCNA - NORTH SHREVEPORT DIALYSIS,192562,0.005,54
FMCNA - FERRIDAY,192563,0.005,53
FMCNA - DELHI DIALYSIS CTR,192564,0,90
FMCNA - QUALITY CARE DIALYSIS-HAMMOND,192565,0.01,45
FMCNA - EUNICE,192566,0,60
FMCNA - WESTPORT,192568,0,66
FMCNA - DONALDSONVILLE DIALYSIS,192572,0.005,53
FMCNA - DELTA,192573,0.01,48
FMCNA - THIBODAUX,192574,0,82
DCI - TULANE-NEW ORLEANS,192575,0.01,47
FMCNA - PINEVILLE,192577,0,61
RACELAND DIALYSIS CTR,192578,0,86
FMCNA - SOUTHWEST SHREVEPORT,192579,0,65
FMCNA - NORTH LAFAYETTE,192580,0.01,40
DAVITA - NEW ORLEANS UPTOWN DIALYSIS,192581,0,77
FMCNA - OUACHITA DIALYSIS,192582,0,61
DCI - WESTBANK-GRETNA,192584,0.015,34
DCI - SHREVEPORT,192586,0,66
FMCNA - FRANKLIN,192587,0,68
FKC - EAST LAKE CHARLES,192588,0.005,58
FMCNA - PICARDY KIDNEY CTR,192589,0,93
FMCNA - ZACHARY CROSSROAD,192592,0,78
VACHERIE DX,192593,0,86
DAVITA - LAKE CHARLES SOUTHWEST DIALYSIS,192597,0,65
DAVITA - DERIDDER DIALYSIS,192598,0,59
DAVITA - KENNER REG DIALYSIS,192599,0,79
FMCNA - WINNFIELD,192601,0,77
FMCNA - NEW ROADS,192602,0,84
FMCNA - JENNINGS,192603,0,60
FMCNA - WINNSBORO,192604,0,62
FMCNA - DESOTO DIALYSIS,192605,0,73
FMCNA - PLAQUEMINE,192606,0,88
DAVITA - MEMORIAL DIALYSIS,192608,0.005,49
FMCNA - OAK GROVE,192609,0,67
FMCNA - AIRLINE,192610,0,77
FMCNA - EAST NATCHITOCHES DIALYSIS,192611,0,69
DAVITA - SULPHUR,192612,0,76
DAVITA - DIALYSIS SYSTEMS OF COVINGTON,192613,0.005,52
FMCNA - SOUTH ALEXANDRIA,192614,0.005,49
DAVITA - WASHINGTON PARISH DIALYSIS,192615,0,72
DAVITA - EAST BATON ROUGE,192616,0,87
FMCNA - VILLE PLATTE,192618,0.005,52
FMCNA - CALDWELL PARISH,192623,0,89
DCI - NEW ORLEANS EAST,192625,0.005,57
FMCNA - NORTH MONROE,192627,0.01,39
FMCNA - UNION PARISH DX,192628,0,66
FMCNA - LINCOLN KIDNEY CTR,192630,0.005,56
FMCNA - SOUTH SHREVEPORT,192631,0.005,52
FMCNA - NORTH BOULEVARD,192632,0,59
FMCNA - FARMERVILLE,192633,0,84
FMCNA - MONROE,192635,0,67
DCI - KIDNEY CARE OF ACADIANA-NEW IBERIA,192636,0.005,53
FMCNA - DIALYSIS SERVICES AVONDALE,192637,0,63
FMCNA - EAST MINDEN,192638,0.005,57
FMCNA - KENTWOOD,192640,0,81
FMCNA - COUSHATTA,192641,0,64
FMCNA - BREAUX BRIDGE,192643,0,70
FMCNA - ASCENSION,192644,0,75
FMCNA - SUNSET,192649,0,77
DCI - EAST SHREVEPORT,192650,0.01,43
DCI - KIDNEY CARE OF ACADIANA-LAFAYETTE,192651,0.01,39
FMCNA - FELICIANAS DIALYSIS CTR,192652,0,75
FMCNA - OCHSNER-ST CHARLES,192653,0,86
DCI - CROWLEY,192656,0,64
FMCNA - DIALYSIS SERVICES-MAMOU,192657,0,93
FMCNA - WEST SHREVEPORT,192658,0.005,53
FMCNA - LEESVILLE DIALYSIS,192659,0,80
FMCNA - HOMER,192663,0,81
DCI - OPELOUSAS,192665,0,61
DCI - NORTH SHREVEPORT,192669,0.005,51
FMCNA - WESTBANK,192670,0.01,48
FMCNA - DIALYSIS SERVICES OF BON CARRE,192671,0,64
FKC - TCHEFUNCTE RIVER,192674,0.005,56
FMCNA - MOREHOUSE PARISH DIALYSIS,192676,0,61
FMCNA - RICHLAND PARISH,192677,0.005,57
DAVITA - METAIRIE,192678,0.005,56
FKC - O'NEAL LANE,192680,0,76
DAVITA - RIVER PARISHES DIALYSIS,192681,0,63
METAIRIE KIDNEY CTR,192682,0,75
DAVITA - OAKWOOD DIALYSIS,192683,0,78
FMCNA - WALKER,192684,0,89
FMCNA - EAST LAFAYETTE,192685,0.005,50
FMCNA - MANY,192686,0,69
DCI - JENNINGS,192687,0,59
FMCNA - RUSTON,192688,0,82
DAVITA - GARDEN DISTRICT DX,192689,0.005,56
NEW ORLEANS KIDNEY CTR,192690,0.005,56
FMCNA - KENNER DIALYSIS,192691,0,60
FMCNA - DENHAM SPRINGS,192692,0.005,54
FMCNA - SLIDELL,192693,0.005,54
DAVITA - MARRERO DIALYSIS CENTER,192694,0,59
DAVITA - BROADMOOR DX,192695,0,60
DAVITA - CRESCENT CITY,192696,0.005,56
FMCNA - BARATARIA,192697,0,65
FMCNA - PIERREMONTE DIALYSIS,192698,0,60
FMCNA - SOUTH BOSSIER,192699,0,60
ST JAMES DIALYSIS,192700,0.005,53
FMCNA - WEST MONROE,192701,0,67
XCLOSED - FMCNA - TRINITY,192702,0,82
"DCI - KIDNEY TREATMENT OPTIONS CTR, LLC (KTOC)",192703,0.01,41
FMCNA - CENTRAL LAKE CHARLES DX,192704,0.005,54
FMCNA - LACOMBE,192705,0.005,55
FMCNA - HOWELL PLACE,192706,0,79
DAVITA - RIVER BEND DIALYSIS,192707,0,74
FKC - EAST HOUMA,192708,0,59
FMCNA - OCHSNER NORTH ARNOULT,192709,0.005,52
FKC - ABITA,192710,0.015,32
DAVITA - RED RIVER DIALYSIS,192711,0.005,52
FMCNA - SOUTH MONROE,192712,0.005,53
DAVITA - WESTWEGO DIALYSIS,192713,0,69
FMCNA - NORTH HOUMA DIALYSIS,192714,0,64
DAVITA - NOLA,192715,0.005,55
DAVITA - ESSEN LANE DIALYSIS,192716,0.005,58
DAVITA - MARIGNY DIALYSIS,192717,0.01,47
FKC - KENNER HOME THERAPIES,192718,0,0
DAVITA - ALGIERS DIALYSIS,192719,0,64
DAVITA - SCOTLANDVILLE DIALYSIS,192720,0,80
DAVITA - YOUNGSVILLE DIALYSIS,192721,0,60
FMCNA - LAKE FOREST,192722,0.005,56
FKC - J.H. LEE KIDNEY CENTER,192723,0,84
DAVITA - FREMAUX DIALYSIS,192724,0.01,47
DAVITA - MID CITY DIALYSIS,192725,0,66
FMCNA - CRESCENT HOME THERAPY,192726,0,60
FMCNA - GRETNA,192727,0,79
"KENTWOOD HOME DIALYSIS, LLC",192728,0.02,21
DAVITA - WALKER DIALYSIS,192729,0,82
FMCNA - GONZALES,192730,0,70
FMCNA - NORTH BOSSIER,192731,0,66
"HAMMOND DIALYSIS CLINIC, LLC",192732,0.015,35
FKC - CENTRAL LOUISIANA,192733,0.01,44
FMCNA - GREATER  BATON ROUGE HOME PROGRAM,192734,0.005,56
DAVITA - GENTILLY DIALYSIS,192735,0,74
DAVITA - PRAIRIEVILLE,192736,0,0
FMCNA - LAPLACE,192737,0,65
DAVITA - EARHART,192738,0,87
DCI - BAYOU TECHE,192739,0,72
FKC - CHALMETTE,192740,0,0
FKC - NORTH THIBODAUX,192741,0,0
FKC - ALGIERS,192742,0,0
DCI - ST JAMES,192743,0,0
FKC - WASHINGTON PARISH,192744,0,0
FMCNA - VETERANS MEMORIAL,192745,0,0
FKC - NEW ORLEANS UPTOWN,192746,0,0
FKC - HOUMA HOME PROGRAM,192747,0,0
FKC - CALCASIEU PARISH,192748,0,0
FKC - NORTH CADDO PARISH,192749,0,0
DAVITA - COVINGTON TRACE,192750,0,0
FKC - NEW ORLEANS DOWNTOWN,192751,0,0
COUNTY DIALYSIS CENTER,202304,0,87
SOUTHERN MAINE DIALYSIS FACILITY,202500,0.005,57
LEWISTON AUBURN KIDNEY CENTER,202501,0,68
COASTAL DIALYSIS CENTER,202502,0,91
YORK COUNTY DIALYSIS CENTER,202503,0,75
KENNEBEC KIDNEY CENTER,202504,0.005,58
CASCO BAY DIALYSIS FACILITY,202505,0,64
ANDROSCOGGIN KIDNEY CENTER,202506,0,82
DAMARISCOTTA DIALYSIS,202507,0,90
UMBAGOG KIDNEY CENTER,202508,0,68
DCI SKOWHEGAN,202509,0,61
SUNRISE COUNTY DIALYSIS,202510,0.005,53
DIALYSIS CLINIC INC. - BELFAST,202511,0,87
BOYD DIALYSIS,202512,0.01,47
LINCOLN LAKES REGION DIALYSIS,202513,0,75
EASTERN MAINE DIALYSIS,202514,0,69
DCI GREATER WATERVILLE,202515,0,78
"BIO-MEDICAL APPLICATIONS OF MAINE, INC.",202516,0,0
WESTERN MARYLAND REGIONAL DIALYSIS CENTER,212302,0.015,38
BON SECOURS HOSPITAL,212309,0.015,35
HOLY CROSS HOSPITAL,212310,0.005,56
DEERS HEAD CENTER,212313,0,61
BMA - CAMP SPRINGS,212501,0,73
BMA - BETHESDA,212503,0,61
BMA - BALTIMORE,212504,0,65
BMA - LEONARDTOWN,212510,0,66
DAVITA - ROCKVILLE,212511,0,82
DAVITA - EASTON,212512,0,69
IDF - CHESTNUT SQUARE DIALYSIS CTR,212513,0,78
IDF - PARKVIEW CENTER,212515,0,61
DAVITA - HOWARD COUNTY,212516,0.01,43
DAVITA - BERLIN DIALYSIS,212520,0,69
DOWNTOWN DIALYSIS CENTER,212522,0.01,45
DAVITA - WHITE SQUARE,212523,0.01,39
